cliente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
SÁVIO SOARES,óleo de soja,morango,carvão,picanha,salsicha,vodka,,,,,,,,,,,,
WEMERSON SOARES,achocolatado,batata,,,,,,,,,,,,,,,,
JOÃO DEMARQUE,bolo,palmito,,,,,,,,,,,,,,,,
VICTOR RODRIGUES,kiwi,açúcar,carvão,cerveja,salsicha,vodka,palmito,,,,,,,,,,,
FILIPE LIMA,laranja,sal,café,açúcar,bolo,leite,nhoque,peito de peru,,,,,,,,,,
JÚLIO DEMARQUE,mel,filé de frango,,,,,,,,,,,,,,,,
MAYCON DEMARQUE,atum enlatado,molho de tomate,morango,tomate,pão,manteiga,queijo,presunto,salada,alface,cenoura,vinagre,,,,,,
ALYSON SILVA,cereal,pepino,,,,,,,,,,,,,,,,
OTÁVIO CARDOSO,molho pesto,água tônica,farinha de trigo,carvão,picanha,,,,,,,,,,,,,
JOÃO BANDEIRA,massa de pizza,molho pesto,macarrão,peixe,,,,,,,,,,,,,,
ALYSON SOARES,energético,sardinha enlatada,maionese,mostarda,manga,arroz,feijão,frango,salada,alface,,,,,,,,
GABRIEL CARDOSO,detergente,castanhas,picanha,catchup,gelatina,vinho tinto,queijo,presunto,torrada,presunto,,,,,,,,
SERGIO CARDOSO,limão,whisky,morango,vinho tinto,queijo,,,,,,,,,,,,,
SÁVIO CARDOSO,torrada,frango,feijão,salada,batata,barra de cereal,,,,,,,,,,,,
MAYCON OLIVEIRA,feijão,geleia,,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,vinagre,tempero pronto,,,,,,,,,,,,,,,,
JÚLIO SILVA,refrigerante,morango,pão,,,,,,,,,,,,,,,
ALYSON LIMA,whisky,macarrão,macarrão,espumante,vinho branco,,,,,,,,,,,,,
GABRIEL NÁPOLES,morango,filé de frango,arroz,feijão,salada,feijão,peito de peru,torrada,alho,,,,,,,,,
PEDRO CARDOSO,batata,peito de peru,papel higiênico,bolo,nhoque,papel higiênico,cogumelo,manteiga,suco,,,,,,,,,
SERGIO SILVA,leite,chocolate,banana,,,,,,,,,,,,,,,
PEDRO CARDOSO,limão,picanha,picanha,,,,,,,,,,,,,,,
JOÃO DEMARQUE,manteiga,feijão,,,,,,,,,,,,,,,,
JOÃO OLIVEIRA,linguiça,ervilha,,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,limão,ervilha,,,,,,,,,,,,,,,,
VICTOR COSTA,maionese,vodka,cerveja,picanha,carvão,salsicha,patê,açúcar,vinho tinto,queijo,presunto,,,,,,,
MAYCON SANTOS,papel higiênico,chocolate,sorvete,,,,,,,,,,,,,,,
SÁVIO NETO,verduras,papel higiênico,maçã,,,,,,,,,,,,,,,
LUIZ SILVA,massa de pizza,pão,,,,,,,,,,,,,,,,
PEDRO SOARES,chocolate,sorvete,leite,castanhas,farinha de mandioca,mel,tomate,,,,,,,,,,,
JÚLIO BANDEIRA,picanha,suco,,,,,,,,,,,,,,,,
GUSTAVO CRUZ,café,bolo,verduras,pão,,,,,,,,,,,,,,
OTÁVIO MASSI,azeite,banana,,,,,,,,,,,,,,,,
DANIEL CRUZ,achocolatado,sardinha enlatada,feijão,detergente,granola,cerveja artesanal,,,,,,,,,,,,
LUIZ SOARES,chá,biscoito,pimenta,,,,,,,,,,,,,,,
DANIEL SILVA,espumante,linguiça,,,,,,,,,,,,,,,,
DAVI SILVA,arroz,feijão,frango,salada,,,,,,,,,,,,,,
SÁVIO CRUZ,sardinha enlatada,pizza,refrigerante,cerveja artesanal,espumante,sopa pronta,,,,,,,,,,,,
WEMERSON RODRIGUES,açúcar,suco,limão,cebola,sorvete,,,,,,,,,,,,,
SERGIO BANDEIRA,suco,papel higiênico,feijão,salsicha,suco de laranja,pão,,,,,,,,,,,,
MAYCON OLIVEIRA,molho branco,carne moída,,,,,,,,,,,,,,,,
GABRIEL SOARES,milho verde,abacaxi,bisnaguinha,,,,,,,,,,,,,,,
FILIPE CARDOSO,pepino,suco de laranja,,,,,,,,,,,,,,,,
GABRIEL CRUZ,massa de pizza,maionese,frango,,,,,,,,,,,,,,,
SÁVIO CRUZ,batata,nhoque,,,,,,,,,,,,,,,,
LUIZ CARDOSO,uva,batata,,,,,,,,,,,,,,,,
VANESSA SANTOS,pão,manteiga,presunto,geleia,vinho tinto,,,,,,,,,,,,,
DANIEL CRUZ,lasanha,vinagre,amendoim,,,,,,,,,,,,,,,
PEDRO COSTA,salsicha,peito de peru,,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,vodka,patê,uva,mostarda,queijo ralado,manga,,,,,,,,,,,,
JÚLIO MASSI,manga,iogurte,,,,,,,,,,,,,,,,
GABRIEL SILVA,molho branco,sopa pronta,filé de frango,salada,açúcar,,,,,,,,,,,,,
DANIEL CRUZ,amendoim,molho branco,catchup,carvão,cerveja,salsicha,desinfetante,,,,,,,,,,,
PEDRO SOARES,torrada,carvão,cerveja,vodka,detergente,,,,,,,,,,,,,
DANIEL OLIVEIRA,achocolatado,bisnaguinha,picanha,vinagre,nhoque,sorvete,gelatina,cenoura,,,,,,,,,,
DAVI NÁPOLES,pão,manteiga,,,,,,,,,,,,,,,,
WEMERSON CRUZ,cebola,picanha,batata,castanhas,ervilha,vinagre,,,,,,,,,,,,
GABRIEL RODRIGUES,chocolate,sorvete,,,,,,,,,,,,,,,,
VANESSA MASSI,molho pesto,hambúrguer,,,,,,,,,,,,,,,,
WEMERSON NETO,bisnaguinha,uva,,,,,,,,,,,,,,,,
JÚLIO CRUZ,gelatina,carvão,cerveja,,,,,,,,,,,,,,,
FILIPE SANTOS,frango,feijão,salada,azeitona,picanha,,,,,,,,,,,,,
GABRIEL SANTOS,sopa pronta,pudim,,,,,,,,,,,,,,,,
WEMERSON BANDEIRA,leite,água tônica,azeite,suco,pão,manteiga,queijo,presunto,,,,,,,,,,
MAYCON SANTOS,milho verde,massa de pizza,mostarda,mostarda,farinha de mandioca,cereal,,,,,,,,,,,,
PEDRO CRUZ,salsicha,patê,,,,,,,,,,,,,,,,
FILIPE LIMA,banana,frango,feijão,salada,filé de frango,suco,farinha de mandioca,cebola,morango,pimenta,,,,,,,,
GABRIEL SOARES,maionese,verduras,pão,queijo,geleia,laranja,pizza,cerveja artesanal,whisky,geleia,açúcar,,,,,,,
MAYCON OLIVEIRA,uva,suco,pão,manteiga,queijo,presunto,geleia,nutella,sabão,,,,,,,,,
DAVI DEMARQUE,vinho tinto,pão,massa de pizza,cerveja,,,,,,,,,,,,,,
GABRIEL NETO,sardinha enlatada,alho,,,,,,,,,,,,,,,,
OTÁVIO RODRIGUES,café,açúcar,bolo,filé de frango,arroz,feijão,salada,alface,,,,,,,,,,
SERGIO SILVA,picanha,carne moída,batata,,,,,,,,,,,,,,,
JÚLIO LIMA,sorvete,mel,gelatina,kiwi,leite,peixe,maçã,sopa pronta,tomate,,,,,,,,,
LUIZ RODRIGUES,nhoque,óleo de soja,molho pesto,detergente,vinho branco,,,,,,,,,,,,,
SERGIO RODRIGUES,batata,suco,molho pesto,tomate,tomate,tempero pronto,banana,atum enlatado,,,,,,,,,,
FILIPE CRUZ,geleia,papel higiênico,whisky,tomate,vodka,milho verde,,,,,,,,,,,,
DANIEL CRUZ,filé de frango,feijão,salada,espumante,cebola,amendoim,ervilha,,,,,,,,,,,
SÁVIO SILVA,azeitona,manteiga,cerveja artesanal,cerveja artesanal,maionese,,,,,,,,,,,,,
DAVI OLIVEIRA,patê,granola,bolo,manteiga,açúcar,refrigerante,sorvete,pudim,leite,café,vodka,,,,,,,
ALYSON SOARES,carvão,picanha,cerveja,vodka,atum enlatado,,,,,,,,,,,,,
DAVI NETO,pão,manteiga,queijo,presunto,geleia,lasanha,,,,,,,,,,,,
DANIEL NÁPOLES,limão,palmito,amendoim,frango,arroz,feijão,salada,cerveja artesanal,cerveja,picanha,carvão,,,,,,,
WEMERSON LIMA,mel,picanha,,,,,,,,,,,,,,,,
ALYSON CARDOSO,espumante,biscoito,,,,,,,,,,,,,,,,
SÁVIO SOARES,queijo,refrigerante,linguiça,castanhas,vodka,sardinha enlatada,banana,whisky,,,,,,,,,,
MAYCON NÁPOLES,pão,queijo,,,,,,,,,,,,,,,,
DAVI BANDEIRA,frutas,desinfetante,cenoura,espumante,hambúrguer,batata frita,cerveja,catchup,mostarda,palmito,bisnaguinha,,,,,,,
SERGIO SANTOS,presunto,salsicha,frutas,,,,,,,,,,,,,,,
WEMERSON NETO,palmito,tomate,,,,,,,,,,,,,,,,
VANESSA NETO,achocolatado,gelatina,molho de tomate,batata frita,sardinha enlatada,farinha de mandioca,feijão,torrada,farinha de trigo,molho branco,iogurte,,,,,,,
FILIPE SOARES,mel,vinho tinto,queijo,iogurte,sal,laranja,iogurte,água tônica,torrada,energético,,,,,,,,
PEDRO NETO,leite,lasanha,verduras,sopa pronta,chocolate,sorvete,gelatina,cereal,manga,desinfetante,vodka,,,,,,,
OTÁVIO MASSI,molho de tomate,molho de tomate,sal,café,açúcar,leite,vinho,presunto,,,,,,,,,,
GABRIEL SANTOS,kiwi,alface,,,,,,,,,,,,,,,,
DANIEL SANTOS,batata frita,cogumelo,salsicha,linguiça,pão,manteiga,queijo,presunto,geleia,whisky,biscoito,,,,,,,
GABRIEL RODRIGUES,pudim,morango,maionese,banana,,,,,,,,,,,,,,
LUIZ SILVA,pudim,chocolate,sorvete,leite,macarrão,papel higiênico,bolo,,,,,,,,,,,
OTÁVIO OLIVEIRA,nutella,pepino,suco de laranja,pão,manteiga,bolo,whisky,desinfetante,,,,,,,,,,
JÚLIO RODRIGUES,atum enlatado,carne moída,maionese,manga,,,,,,,,,,,,,,
GUSTAVO CRUZ,massa de pizza,frango,arroz,feijão,salada,água tônica,bisnaguinha,,,,,,,,,,,
DAVI SOARES,maçã,chá,óleo de soja,carne moída,batata frita,água de coco,kiwi,molho de tomate,,,,,,,,,,
VICTOR RODRIGUES,palmito,macarrão,patê,pão,manteiga,queijo,,,,,,,,,,,,
JOÃO LIMA,café,bolo,,,,,,,,,,,,,,,,
DAVI BANDEIRA,kiwi,alho,salsicha,vodka,achocolatado,peixe,,,,,,,,,,,,
VANESSA SANTOS,uva,laranja,frango,arroz,feijão,salada,molho pesto,barra de cereal,azeite,,,,,,,,,
DANIEL LIMA,suco,vodka,,,,,,,,,,,,,,,,
SERGIO NETO,chocolate,leite,sal,amendoim,,,,,,,,,,,,,,
WEMERSON OLIVEIRA,azeitona,granola,água tônica,,,,,,,,,,,,,,,
SERGIO COSTA,frutas,limão,geleia,cenoura,nhoque,papel higiênico,óleo de soja,castanhas,bolo,palmito,banana,,,,,,,
JÚLIO SANTOS,kiwi,ervilha,vinho branco,queijo,pão,pão,manteiga,,,,,,,,,,,
WEMERSON SOARES,pão,manteiga,queijo,geleia,café,bolo,,,,,,,,,,,,
SERGIO CARDOSO,óleo de soja,uva,,,,,,,,,,,,,,,,
MAYCON SOARES,barra de cereal,carvão,picanha,cerveja,salsicha,vodka,,,,,,,,,,,,
GUSTAVO CARDOSO,bolo,achocolatado,,,,,,,,,,,,,,,,
WEMERSON COSTA,achocolatado,molho pesto,molho pesto,cebola,cereal,,,,,,,,,,,,,
DAVI SOARES,uva,abacaxi,,,,,,,,,,,,,,,,
GABRIEL SILVA,pimenta,sal,achocolatado,linguiça,presunto,peito de peru,milho verde,,,,,,,,,,,
FILIPE SOARES,mostarda,milho verde,alho,vinho branco,presunto,pão,carne moída,,,,,,,,,,,
JOÃO DEMARQUE,arroz,feijão,frango,salada,,,,,,,,,,,,,,
DAVI BANDEIRA,farinha de trigo,pizza,refrigerante,cerveja artesanal,massa de pizza,kiwi,,,,,,,,,,,,
SERGIO DEMARQUE,milho verde,vinho branco,,,,,,,,,,,,,,,,
SERGIO NÁPOLES,peito de peru,peixe,,,,,,,,,,,,,,,,
FILIPE CRUZ,molho de tomate,cenoura,espumante,queijo ralado,linguiça,sardinha enlatada,,,,,,,,,,,,
PEDRO SANTOS,cerveja artesanal,barra de cereal,detergente,farinha de mandioca,carvão,,,,,,,,,,,,,
OTÁVIO NETO,chocolate,sorvete,geleia,laranja,achocolatado,atum enlatado,tomate,,,,,,,,,,,
ALYSON CRUZ,água tônica,nutella,biscoito,farinha de trigo,leite,energético,queijo ralado,queijo,carne moída,molho pesto,batata,leite,batata,,,,,
GUSTAVO NETO,pão,manteiga,queijo,presunto,geleia,filé de frango,feijão,amendoim,,,,,,,,,,
SÁVIO NETO,carne moída,palmito,,,,,,,,,,,,,,,,
JÚLIO NÁPOLES,alface,barra de cereal,picanha,manga,mostarda,peixe,café,açúcar,,,,,,,,,,
OTÁVIO BANDEIRA,açúcar,linguiça,,,,,,,,,,,,,,,,
PEDRO OLIVEIRA,suco de laranja,pão,manteiga,,,,,,,,,,,,,,,
PEDRO OLIVEIRA,salsicha,nutella,torrada,sal,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,carne moída,vinagre,achocolatado,patê,hambúrguer,batata frita,cerveja,catchup,tomate,frutas,,,,,,,,
LUIZ BANDEIRA,kiwi,gelatina,,,,,,,,,,,,,,,,
GUSTAVO RODRIGUES,cereal,chá,,,,,,,,,,,,,,,,
WEMERSON SILVA,sabão,azeitona,castanhas,alface,,,,,,,,,,,,,,
PEDRO NÁPOLES,whisky,cerveja,,,,,,,,,,,,,,,,
SERGIO SILVA,vinagre,pimenta,cerveja artesanal,queijo ralado,molho de tomate,feijão,gelatina,farinha de trigo,,,,,,,,,,
PEDRO OLIVEIRA,macarrão,ervilha,,,,,,,,,,,,,,,,
ALYSON SANTOS,vodka,mostarda,,,,,,,,,,,,,,,,
JOÃO DEMARQUE,papel higiênico,molho branco,mel,,,,,,,,,,,,,,,
GUSTAVO LIMA,cebola,filé de frango,arroz,,,,,,,,,,,,,,,
SERGIO LIMA,feijão,gelatina,molho branco,água de coco,amendoim,sardinha enlatada,cogumelo,sabão,cebola,azeitona,frutas,,,,,,,
DANIEL SILVA,carne moída,vinho branco,queijo,presunto,vinho branco,abacaxi,espumante,nhoque,,,,,,,,,,
VICTOR NETO,vinho,queijo,presunto,pão,presunto,,,,,,,,,,,,,
OTÁVIO SANTOS,vinagre,ervilha,,,,,,,,,,,,,,,,
WEMERSON NÁPOLES,molho branco,laranja,gelatina,frutas,cereal,cereal,sardinha enlatada,,,,,,,,,,,
WEMERSON CARDOSO,energético,manga,,,,,,,,,,,,,,,,
ALYSON RODRIGUES,catchup,vodka,,,,,,,,,,,,,,,,
SERGIO MASSI,cenoura,chocolate,sorvete,tempero pronto,castanhas,linguiça,farinha de mandioca,pizza,refrigerante,,,,,,,,,
GUSTAVO COSTA,banana,picanha,cebola,refrigerante,laranja,sorvete,,,,,,,,,,,,
DANIEL RODRIGUES,vinho branco,queijo,presunto,pão,maionese,pizza,refrigerante,cerveja,,,,,,,,,,
LUIZ SOARES,frango,arroz,feijão,salada,pizza,cerveja artesanal,,,,,,,,,,,,
GABRIEL DEMARQUE,sal,iogurte,farinha de mandioca,nhoque,hambúrguer,cerveja,catchup,,,,,,,,,,,
PEDRO DEMARQUE,ervilha,vinho branco,,,,,,,,,,,,,,,,
SÁVIO SOARES,presunto,frutas,,,,,,,,,,,,,,,,
DAVI BANDEIRA,granola,iogurte,pimenta,peito de peru,água tônica,açúcar,biscoito,,,,,,,,,,,
JOÃO OLIVEIRA,gelatina,suco,,,,,,,,,,,,,,,,
VANESSA COSTA,refrigerante,sopa pronta,,,,,,,,,,,,,,,,
DAVI SOARES,bolo,picanha,molho de tomate,,,,,,,,,,,,,,,
MAYCON SILVA,biscoito,verduras,salada,alface,tomate,,,,,,,,,,,,,
ALYSON LIMA,arroz,feijão,salada,,,,,,,,,,,,,,,
WEMERSON RODRIGUES,sal,energético,,,,,,,,,,,,,,,,
GABRIEL DEMARQUE,uva,cenoura,,,,,,,,,,,,,,,,
SERGIO SANTOS,granola,detergente,,,,,,,,,,,,,,,,
LUIZ SANTOS,sorvete,farinha de mandioca,achocolatado,molho pesto,peito de peru,linguiça,espumante,,,,,,,,,,,
GABRIEL SOARES,hambúrguer,batata frita,,,,,,,,,,,,,,,,
JÚLIO DEMARQUE,batata frita,molho de tomate,,,,,,,,,,,,,,,,
GUSTAVO DEMARQUE,queijo ralado,picanha,feijão,banana,atum enlatado,,,,,,,,,,,,,
FILIPE NÁPOLES,achocolatado,milho verde,,,,,,,,,,,,,,,,
SERGIO CRUZ,atum enlatado,whisky,queijo ralado,sabão,desinfetante,manteiga,molho pesto,açúcar,carne moída,tempero pronto,,,,,,,,
WEMERSON SANTOS,óleo de soja,peixe,,,,,,,,,,,,,,,,
SERGIO SOARES,granola,abacaxi,banana,energético,verduras,,,,,,,,,,,,,
DAVI RODRIGUES,óleo de soja,castanhas,batata frita,gelatina,,,,,,,,,,,,,,
DANIEL SANTOS,papel higiênico,geleia,,,,,,,,,,,,,,,,
DANIEL CRUZ,maçã,presunto,sabão,salada,cenoura,azeite,,,,,,,,,,,,
FILIPE SOARES,atum enlatado,cebola,mostarda,laranja,,,,,,,,,,,,,,
LUIZ LIMA,salada,alface,tomate,azeite,vinagre,picanha,chá,,,,,,,,,,,
DAVI BANDEIRA,verduras,bisnaguinha,biscoito,farinha de trigo,detergente,queijo,frutas,,,,,,,,,,,
LUIZ LIMA,vinho branco,queijo,presunto,pão,vodka,arroz,feijão,frango,azeite,farinha de trigo,sopa pronta,queijo,,,,,,
JÚLIO SILVA,whisky,manteiga,molho branco,leite,cereal,cerveja,picanha,carvão,salsicha,,,,,,,,,
SERGIO DEMARQUE,banana,salada,alface,,,,,,,,,,,,,,,
MAYCON NÁPOLES,leite,barra de cereal,vodka,cerveja artesanal,,,,,,,,,,,,,,
GUSTAVO CRUZ,salsicha,frango,arroz,feijão,salada,peixe,uva,whisky,,,,,,,,,,
JOÃO DEMARQUE,linguiça,refrigerante,salada,tomate,cenoura,azeite,vinagre,,,,,,,,,,,
DAVI CRUZ,carvão,picanha,cerveja,vodka,uva,queijo ralado,macarrão,,,,,,,,,,,
OTÁVIO CARDOSO,óleo de soja,vinho,,,,,,,,,,,,,,,,
SERGIO CARDOSO,açúcar,molho branco,peito de peru,detergente,,,,,,,,,,,,,,
FILIPE BANDEIRA,filé de frango,arroz,,,,,,,,,,,,,,,,
VICTOR NETO,uva,azeite,sorvete,detergente,alface,,,,,,,,,,,,,
WEMERSON SANTOS,chocolate,sorvete,leite,peixe,,,,,,,,,,,,,,
MAYCON DEMARQUE,manga,morango,vinho,pão,nutella,morango,bolo,peixe,,,,,,,,,,
OTÁVIO CRUZ,arroz,feijão,salada,gelatina,tomate,peixe,,,,,,,,,,,,
DANIEL SILVA,granola,amendoim,feijão,pepino,mostarda,chocolate,sorvete,,,,,,,,,,,
GUSTAVO SANTOS,iogurte,banana,torrada,,,,,,,,,,,,,,,
GABRIEL NÁPOLES,sopa pronta,macarrão,,,,,,,,,,,,,,,,
ALYSON SANTOS,chá,maçã,cerveja,,,,,,,,,,,,,,,
JÚLIO NÁPOLES,vodka,linguiça,laranja,achocolatado,,,,,,,,,,,,,,
OTÁVIO DEMARQUE,feijão,espumante,tempero pronto,barra de cereal,pudim,tempero pronto,,,,,,,,,,,,
SÁVIO CARDOSO,laranja,pizza,refrigerante,cerveja artesanal,detergente,manga,lasanha,sorvete,bisnaguinha,macarrão,frango,feijão,,,,,,
DANIEL NETO,sopa pronta,barra de cereal,cerveja,picanha,,,,,,,,,,,,,,
SERGIO DEMARQUE,barra de cereal,carne moída,,,,,,,,,,,,,,,,
ALYSON DEMARQUE,pepino,feijão,pudim,,,,,,,,,,,,,,,
LUIZ SOARES,banana,barra de cereal,vinho branco,,,,,,,,,,,,,,,
GABRIEL CARDOSO,bolo,suco,cebola,alho,alface,vinagre,,,,,,,,,,,,
OTÁVIO OLIVEIRA,vinho tinto,queijo,,,,,,,,,,,,,,,,
SERGIO NÁPOLES,peixe,pudim,molho pesto,cereal,amendoim,,,,,,,,,,,,,
SERGIO OLIVEIRA,lasanha,mel,molho pesto,tempero pronto,barra de cereal,,,,,,,,,,,,,
VANESSA LIMA,feijão,iogurte,sopa pronta,patê,uva,,,,,,,,,,,,,
DANIEL LIMA,chá,farinha de trigo,,,,,,,,,,,,,,,,
DANIEL BANDEIRA,água de coco,chocolate,sorvete,peito de peru,,,,,,,,,,,,,,
JOÃO DEMARQUE,farinha de trigo,alho,,,,,,,,,,,,,,,,
SÁVIO NETO,batata frita,mel,suco de laranja,,,,,,,,,,,,,,,
ALYSON CARDOSO,gelatina,maçã,farinha de mandioca,,,,,,,,,,,,,,,
JOÃO LIMA,pudim,pizza,refrigerante,cerveja artesanal,chá,catchup,,,,,,,,,,,,
OTÁVIO SILVA,molho pesto,óleo de soja,,,,,,,,,,,,,,,,
WEMERSON CARDOSO,sorvete,suco de laranja,pão,manteiga,bolo,batata frita,sardinha enlatada,,,,,,,,,,,
JÚLIO DEMARQUE,desinfetante,azeitona,farinha de mandioca,patê,sardinha enlatada,palmito,frango,feijão,desinfetante,hambúrguer,,,,,,,,
VANESSA COSTA,linguiça,suco de laranja,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,vinho tinto,queijo,presunto,pão,cerveja,picanha,,,,,,,,,,,,
VICTOR LIMA,pizza,refrigerante,cerveja artesanal,cogumelo,molho pesto,queijo ralado,feijão,,,,,,,,,,,
FILIPE DEMARQUE,amendoim,alface,,,,,,,,,,,,,,,,
OTÁVIO BANDEIRA,maionese,biscoito,salsicha,,,,,,,,,,,,,,,
ALYSON SANTOS,cerveja,picanha,carvão,salsicha,,,,,,,,,,,,,,
JÚLIO NETO,mostarda,desinfetante,chá,,,,,,,,,,,,,,,
LUIZ BANDEIRA,cerveja,picanha,carvão,,,,,,,,,,,,,,,
DAVI CRUZ,cenoura,barra de cereal,,,,,,,,,,,,,,,,
JÚLIO CARDOSO,catchup,sorvete,biscoito,pudim,chá,milho verde,abacaxi,queijo,whisky,,,,,,,,,
SERGIO NETO,barra de cereal,papel higiênico,granola,mostarda,geleia,pão,manteiga,queijo,,,,,,,,,,
FILIPE CARDOSO,laranja,iogurte,,,,,,,,,,,,,,,,
MAYCON SOARES,peixe,macarrão,,,,,,,,,,,,,,,,
PEDRO DEMARQUE,filé de frango,arroz,feijão,atum enlatado,pão,queijo,,,,,,,,,,,,
VANESSA MASSI,tempero pronto,massa de pizza,,,,,,,,,,,,,,,,
DANIEL CRUZ,macarrão,manteiga,banana,pimenta,morango,,,,,,,,,,,,,
GABRIEL SANTOS,gelatina,cerveja,carvão,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,sopa pronta,cogumelo,molho branco,suco de laranja,pão,manteiga,bolo,,,,,,,,,,,
LUIZ NETO,feijão,peixe,pepino,linguiça,frango,salada,milho verde,,,,,,,,,,,
LUIZ SOARES,desinfetante,detergente,,,,,,,,,,,,,,,,
PEDRO CARDOSO,espumante,chocolate,,,,,,,,,,,,,,,,
LUIZ LIMA,batata frita,atum enlatado,,,,,,,,,,,,,,,,
GABRIEL CARDOSO,presunto,filé de frango,arroz,feijão,alho,limão,patê,,,,,,,,,,,
JOÃO DEMARQUE,vinho branco,queijo,,,,,,,,,,,,,,,,
WEMERSON COSTA,frutas,chocolate,sorvete,,,,,,,,,,,,,,,
VANESSA COSTA,energético,óleo de soja,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,suco,pudim,abacaxi,achocolatado,,,,,,,,,,,,,,
ALYSON MASSI,suco,uva,,,,,,,,,,,,,,,,
WEMERSON NÁPOLES,presunto,carne moída,batata,geleia,tomate,,,,,,,,,,,,,
ALYSON CARDOSO,água tônica,energético,espumante,cereal,tempero pronto,cogumelo,,,,,,,,,,,,
WEMERSON BANDEIRA,maionese,patê,linguiça,limão,cenoura,,,,,,,,,,,,,
GUSTAVO MASSI,farinha de mandioca,sal,alho,,,,,,,,,,,,,,,
SÁVIO BANDEIRA,filé de frango,arroz,salada,filé de frango,feijão,,,,,,,,,,,,,
VICTOR LIMA,maionese,vinagre,vinho tinto,queijo,presunto,lasanha,,,,,,,,,,,,
OTÁVIO RODRIGUES,desinfetante,água de coco,,,,,,,,,,,,,,,,
PEDRO OLIVEIRA,chocolate,sorvete,leite,filé de frango,arroz,feijão,salada,achocolatado,café,verduras,linguiça,,,,,,,
DANIEL OLIVEIRA,molho pesto,carvão,picanha,salsicha,atum enlatado,desinfetante,,,,,,,,,,,,
GABRIEL LIMA,farinha de trigo,frutas,,,,,,,,,,,,,,,,
GUSTAVO NETO,manteiga,ervilha,espumante,,,,,,,,,,,,,,,
JOÃO COSTA,sardinha enlatada,manga,limão,molho pesto,energético,biscoito,,,,,,,,,,,,
DANIEL OLIVEIRA,chá,milho verde,maionese,verduras,,,,,,,,,,,,,,
WEMERSON SANTOS,azeite,lasanha,,,,,,,,,,,,,,,,
FILIPE CRUZ,vinho,queijo,presunto,pão,cebola,pimenta,cogumelo,papel higiênico,patê,achocolatado,granola,cereal,,,,,,
SÁVIO MASSI,massa de pizza,catchup,atum enlatado,bolo,,,,,,,,,,,,,,
MAYCON BANDEIRA,cogumelo,maionese,atum enlatado,achocolatado,desinfetante,cebola,azeitona,vinho,,,,,,,,,,
SÁVIO DEMARQUE,salada,alface,,,,,,,,,,,,,,,,
MAYCON DEMARQUE,pizza,refrigerante,cerveja artesanal,sabão,cebola,leite,kiwi,massa de pizza,pizza,tomate,,,,,,,,
JOÃO NETO,água tônica,kiwi,tomate,maionese,whisky,sardinha enlatada,,,,,,,,,,,,
DAVI COSTA,suco,feijão,cerveja artesanal,sorvete,energético,energético,maionese,,,,,,,,,,,
DANIEL LIMA,molho branco,sorvete,,,,,,,,,,,,,,,,
