Nome,Salario,Nascimento,Cargo,Ano
MATEUS CASTILHO CARDOSO,7387.6,1986-11-11,Desenvolvedor,1986.0
LETICIA RIBAS DE MOURA,2794.05,1750-06-31,Auxiliar,
JOÃO MATHEUS DA SILVA,7964.0,1990-08-28,Estagiário,1990.0
BLENDOW BRENO PRADO SILVA,,1978-02-11,Gerente,1978.0
VICTOR DA SILVA BIANQUINI,10587.6,1983-09-08,Analista de Sistemas,1983.0
VICTOR HUGO CAZULA PEREIRA,12183.6,1750-06-31,Coordenador,
THIAGO CARLOS DE SOUZA,7614.0,1953-05-15,Diretor,1953.0
RÔMULO Araujo Kuhn,3396.75,1989-04-03,Assist,1989.0
MATEUS AUGUSTO DE SOUSA FERRARI,6868.5,1965-09-18,Gerente,1965.0
MATHEUS FELIPE DE SOUZA,6794.700000000001,1950-09-05,Desenvolvedor,1950.0
HENRICO VIEIRA DEMARQUE,3390.4500000000003,1950-11-07,Auxiliar,1950.0
BLENDOW HENRIQUE CAÇADOR,4141.2,1968-06-22,Auxiliar,1968.0
MIGUEL MATHEUS DA SILVA,6944.3,1957-06-17,Desenvolvedor,1957.0
RÔMULO RISSON EUZEBIO,6150.400000000001,1953-05-22,Estagiário,1953.0
MICAEL FELIPE DE SOUZA,5780.0,1986-07-14,Diretor,1986.0
SAMUEL DA CUNHA TEIXEIRA,2733.0,1973-13-32,Gerente,
HENRIQUE FELIPE DE SOUZA,5341.6,1989-01-16,Estagiário,1989.0
PAULO WERNECK ELIZEU,6568.0,1999-10-09,Estagiário,1999.0
PAULO PICANÇO SANTOS FERREIRA SILVA,8559.2,1750-06-31,Coordenador,
JOÃO WILSTONY DE SOUZA MENDES,2928.0,1993-03-07,Diretor,1993.0
KALLEBE CUNHA DE OLIVEIRA,7745.1,1953-04-18,Desenvolvedor,1953.0
JOÃO HENRIQUE CAÇADOR,6588.8,1977-10-14,Estagiário,1977.0
Breno VITOR FAÇANHA NEVES,10682.1,1981-02-26,Desenvolvedor,1981.0
MATEUS GONÇALVES DOS SANTOS,3256.0,1983-03-19,Estagiário,1983.0
GABRIEL VICTOR ALVES,10708.8,1975-03-03,Analista,1975.0
Breno IVAIR DE ASSIS SETTA,3577.2000000000003,1973-08-13,Desenvolvedor,1973.0
PEDRO SEGURASSE GONÇALVES,4617.6,1955-01-21,,1955.0
SAMUEL PICANÇO SANTOS FERREIRA SILVA,869.2731844196321,1957-06-04,Gerente,1957.0
GABRIEL SOUZA RONCETE,5038.8,1977-09-28,Analista,1977.0
MATEUS STANZANI DE JESUS,3797.3,1988-02-11,Coordenador,1988.0
FELIPE CASTILHO CARDOSO,2391.9,1957-10-17,Auxiliar,1957.0
MARCO MATOS LIMA DA CUNHA,9477.0,1968-11-14,Gerente,1968.0
HENRIQUE AUGUSTO DE SOUSA FERRARI,2598.0,1969-11-17,Analista,1969.0
MIGUEL CARDOSO DINIZ,5126.0,1993-05-13,Desenvolvedor,1993.0
THIAGO MATOS LIMA DA CUNHA,6349.2,1953-08-28,Analista,1953.0
HIAN LACERDA PORTUGAL DA SILVA,4101.5,1966-12-24,Coordenador,1966.0
LUCAS ANTÔNIO DE DECCO OLIVEIRA,1392.8000000000002,1985-05-08,Estagiário,1985.0
RAFAEL SEGURASSE GONÇALVES,1117.6000000000001,1951-12-21,Estagiário,1951.0
GUILHERME IVAIR DE ASSIS SETTA,3502.4,1963-03-20,Estagiário,1963.0
VICTOR WILSTONY DE SOUZA MENDES,4309.2,1964-02-09,Analista,1964.0
PEDRO ASSIS NOGUEIRA SILVA,8956.5,2000-08-15,Gerente,2000.0
GUILHERME DA CUNHA TEIXEIRA,5553.900000000001,1957-05-03,Desenvolvedor,1957.0
JOÃO ANTÔNIO DE SOUZA NETO,5576.4,1950-05-07,Analista,1950.0
MATHEUS VITOR FAÇANHA NEVES,1514.1000000000001,1997-07-06,Auxiliar,1997.0
FELIPE HUGO CAZULA PEREIRA,-9151.199999999999,1979-11-17,Analista,1979.0
MIGUEL RIBAS DE MOURA,5238.200000000001,1993-11-16,Desenvolvedor,1993.0
CARLOS SILVINO DA SILVA,3834.0,2000-06-27,Gerente,2000.0
KALLEBE MURATORI DUTRA,10817.300000000001,1979-10-08,Coordenador,1979.0
JOÃO DA SILVA BIANQUINI,5406.7,1962-03-06,Coordenator,1962.0
RÔMULO MURATORI DUTRA,8408.4,1959-10-18,Analista,1959.0
MARCO MURATORI DUTRA,7371.599999999999,1979-05-18,Analista,1979.0
SAMUEL CARDOSO DINIZ,7732.400000000001,1960-04-09,Coordenador,1960.0
LEVI CUNHA DE OLIVEIRA,2982.2000000000003,1958-12-25,Coordenador,1958.0
SAMUEL Araujo Kuhn,2912.8,1975-12-27,Desenvolvedor,1975.0
GABRIEL SILVINO DA SILVA,11948.0,1950-01-05,Diretor,1950.0
FELIPE JOSÉ SILVA MATIAS,1008.8000000000001,1981-05-10,Estagiário,1981.0
MARCO ASSIS NOGUEIRA SILVA,5552.8,,Estagiário,
RÔMULO MURATORI DUTRA,9235.5,1990-07-16,Gerente,1990.0
SAMUEL GONÇALVES DOS SANTOS,7051.8,1982-03-13,Auxiliar,1982.0
PAULO SEGURASSE GONÇALVES,9317.7,1984-03-25,Auxiliar,1984.0
HIAN AUGUSTO DE SOUSA FERRARI,5732.8,1991-03-03,,1991.0
THIAGO GONÇALVES DONADONI,-3276.0,1991-07-21,Coordenador,1991.0
SAMUEL MALAQUIAS DE SOUZA OLIVEIRA,19946.0,1952-02-16,Diretor,1952.0
PEDRO ASSIS NOGUEIRA SILVA,8846.0,1993-02-10,,1993.0
MICAEL BRENO PRADO SILVA,1345.5,1973-13-32,Coordenador,
MATEUS LACERDA PORTUGAL DA SILVA,15440.0,1991-01-01,Diretor,1991.0
MATHEUS STANZANI DE JESUS,1086.75,1995-12-15,Auxiliar,1995.0
GABRIEL PAULO ALVES ALVIM,5518.5,1976-01-17,Gerente,1976.0
MATEUS MUZY FERNANDES,10524.0,1966-11-17,Analista,1966.0
VICTOR SANTOS DA SILVA,,1970-09-21,Gerente,1970.0
JOÃO MUZY FERNANDES,6016.400000000001,1950-04-05,Coordenador,1950.0
GABRIEL GONÇALVES DOS SANTOS,4876.0,1954-08-14,Director,1954.0
MARCO PAULO ALVES ALVIM,10539.1,1951-03-22,Coordenador,1951.0
JOÃO RIBEIRO AMORIM,9470.4,1975-03-25,Analista,1975.0
MATHEUS PICANÇO SANTOS FERREIRA SILVA,8592.1,,Desenvolvedor,
PEDRO DA CUNHA TEIXEIRA,-6019.650000000001,1973-08-09,Auxiliar,1973.0
GABRIEL STANZANI DE JESUS,82937.06611531452,1969-06-05,Auxiliar,1969.0
VICTOR AUGUSTO DE SOUSA FERRARI,2721.6000000000004,1981-05-15,Estagiário,1981.0
LEVI HUGO CAZULA PEREIRA,6281.6,1982-07-20,Coordenador,1982.0
HENRIQUE ASSIS NOGUEIRA SILVA,8651.5,1950-07-18,Desenvolvedor,1950.0
TIAGO WERNECK ELIZEU,10370.0,1967-12-13,Diretor,1967.0
FELIPE PAULO ALVES ALVIM,6308.8,1989-10-07,Estagiário,1989.0
Breno MURATORI DUTRA,5157.599999999999,1970-01-24,Analista,1970.0
SAMUEL SILVINO DA SILVA,1746.4,1956-09-05,Estagiário,1956.0
MATHEUS MATOS LIMA DA CUNHA,6375.6,1954-04-14,Auxiliar,1954.0
MIGUEL ANTÔNIO DE DECCO OLIVEIRA,8752.800000000001,1958-06-06,Auxiliar,1958.0
RAFAEL ANTÔNIO DE DECCO OLIVEIRA,2207.1,1976-03-06,Auxiliar,1976.0
ARTHUR GONÇALVES DONADONI,9427.0,1974-09-04,Programador,1974.0
PEDRO QUEIROZ DE AGUIAR,9448.95,1982-10-07,Auxiliar,1982.0
RAFAEL CUNHA DE OLIVEIRA,7884.5,1987-02-27,Coordenador,1987.0
JOÃO VITOR FAÇANHA NEVES,5324.55,1982-10-23,Auxiliar,1982.0
PEDRO MALAQUIAS DE SOUZA OLIVEIRA,6448.5,1952-05-17,Gerente,1952.0
Breno CARLOS DE SOUZA,7296.0,1956-12-03,Estagiário,1956.0
SAMUEL QUEIROZ DE AGUIAR,5257.2,1993-05-20,Coordenador,1993.0
PAULO SANTOS DA SILVA,966.4000000000001,1999-09-27,Estagiário,1999.0
VICTOR VIEIRA DEMARQUE,10822.0,1971-09-22,Diretor,1971.0
THIAGO AUGUSTO NERY SILVA,2294.6000000000004,1961-06-27,Desenvolvedor,1961.0
JOÃO MATHEUS DA SILVA,2868.6,1951-02-18,Auxiliar,1951.0
MATEUS VIEIRA DEMARQUE,17874.0,1964-10-15,Diretor,1964.0
SAMUEL SANTOS DA SILVA,-14359.5,1978-03-16,Gerente,1978.0
SAMUEL AUGUSTO DE SOUSA FERRARI,15000.0,,Gerente,
SAMUEL CARLOS DE SOUZA,3013.2,1981-11-19,Analista,1981.0
GABRIEL GONÇALVES DOS SANTOS,15502.0,1991-10-15,Diretor,1991.0
GABRIEL RIBEIRO AMORIM,1424.1258111305283,1963-10-24,Analista,1963.0
FELIPE FELIPE DE SOUZA,3828.5,2000-10-28,Coordenador,2000.0
LETICIA VIEIRA DEMARQUE,16600.0,1951-10-09,Diretor,1951.0
LETICIA WERNECK ELIZEU,2719.2,1974-11-13,Analista,1974.0
MATHEUS HENRIQUE CAÇADOR,14386.5,1966-06-11,Gerente,1966.0
GABRIEL RISSON EUZEBIO,2811.6,1954-12-14,Analista,1954.0
GABRIEL GONÇALVES DONADONI,9777.6,1992-08-25,Analista,1992.0
PAULO MATOS LIMA DA CUNHA,4615.6,1986-06-07,Desenvolvedor,1986.0
ARTHUR QUEIROZ DE AGUIAR,9930.0,1963-03-15,Gerente,1963.0
MATHEUS IVAIR DE ASSIS SETTA,493.19736051315584,1956-06-15,Analista,1956.0
VICTOR CARDOSO DINIZ,3229.5,1978-06-18,Gerente,1978.0
MIGUEL MURATORI DUTRA,17944.0,1969-01-19,Diretor,1969.0
VICTOR VIEIRA DEMARQUE,13752.0,1973-11-17,Gerente,1973.0
KALLEBE ASSIS NOGUEIRA SILVA,1285.6000000000001,1998-07-05,Estagiário,1998.0
LEVI VICTOR ALVES,1771.2329456111984,1961-04-22,Gerente,1961.0
VICTOR MURATORI DUTRA,3842.4,1986-07-24,Estagiário,1986.0
MATHEUS FELIPE DE SOUZA,2312.0,1954-07-05,Diretor,1954.0
LETICIA DA SILVA BIANQUINI,11145.6,1981-07-17,Analista,1981.0
MICAEL SILVA RAMOS,1356.8000000000002,1996-12-27,Estagiário,1996.0
VICTOR CARDOSO DINIZ,2793.6,1977-04-25,Analista,1977.0
PEDRO AUGUSTO NERY SILVA,5231.2,1985-03-06,Coordenador,1985.0
SAMUEL CASTILHO CARDOSO,3946.8,1962-09-13,Desenvolvedor,1962.0
PEDRO JOSÉ SILVA MATIAS,1334.4,1968-01-18,Estag,1968.0
MICAEL BRENO PRADO SILVA,7915.200000000001,1997-02-08,Estagiário,1997.0
Breno AUGUSTO NERY SILVA,3265.6,1997-03-09,Coordenador,1997.0
BLENDOW DA CUNHA TEIXEIRA,10353.0,1997-01-02,Gerente,1997.0
KALLEBE HENRIQUE CAÇADOR,10952.4,1956-12-27,Analista,1956.0
MATEUS IVAIR DE ASSIS SETTA,5209.6,1952-12-04,Desenvolvedor,1952.0
VICTOR RIBAS DE MOURA,2217.6,1957-10-19,Auxiliar,1957.0
LUCAS SILVA RAMOS,7671.400000000001,1968-08-20,Desenvolvedor,1968.0
LUCAS MURATORI DUTRA,3480.0,1974-03-19,Estagiário,1974.0
MATEUS RIBEIRO AMORIM,6900.6,1976-02-27,Auxiliar,1976.0
GUILHERME CASTILHO CARDOSO,3465.0000000000005,1983-01-05,Desenvolvedor,1983.0
THIAGO LACERDA PORTUGAL DA SILVA,5596.0,1966-07-18,Estagiário,1966.0
LUCAS JOSÉ SILVA MATIAS,5085.6,1973-13-32,Estagiário,
LEVI AUGUSTO DE SOUSA FERRARI,7839.599999999999,1994-09-22,Analista,1994.0
RAFAEL MUZY FERNANDES,5191.2,1994-03-03,Analista,1994.0
LUCAS CUNHA DE OLIVEIRA,15880.0,1965-12-25,Diretor,1965.0
GUILHERME ANTÔNIO DE DECCO OLIVEIRA,4775.2,1979-08-21,Estagiário,1979.0
RÔMULO CASTILHO CARDOSO,8040.5,1965-02-09,Coordenador,1965.0
VICTOR ANTÔNIO DE SOUZA NETO,6040.0,1957-01-26,Estagiário,1957.0
GABRIEL SOUZA RONCETE,19130.0,1997-11-22,Diretor,1997.0
HENRIQUE MUZY FERNANDES,16956.0,1972-03-15,Diretor,1972.0
MATEUS BRENO PRADO SILVA,9115.050000000001,1989-05-25,Auxiliar,1989.0
CARLOS MATHEUS DA SILVA,3192.8,1960-10-11,Estagiário,1960.0
PEDRO WILSTONY DE SOUZA MENDES,7927.700000000001,1950-03-12,Desenvolvedor,1950.0
VICTOR DA SILVA BIANQUINI,5158.8,1986-12-21,Analista,1986.0
SAMUEL PAULO ALVES ALVIM,7528.799999999999,1992-09-07,Analista,1992.0
VICTOR PICANÇO SANTOS FERREIRA SILVA,3478.8,1951-08-16,Coordenador,1951.0
LETICIA MATHEUS DA SILVA,2350.0,1993-04-06,Diretor,1993.0
YURI JOSÉ SILVA MATIAS,-19984.0,1950-03-11,Diretor,1950.0
RÔMULO MATOS LIMA DA CUNHA,12969.0,1988-06-15,Gerente,1988.0
LUCAS CASTILHO CARDOSO,8039.900000000001,1958-09-24,Desenvolvedor,1958.0
BLENDOW WILSTONY DE SOUZA MENDES,3575.0,1955-09-25,Coordenador,1955.0
ARTHUR VICTOR ALVES,6008.200000000001,1989-11-02,Desenvolvedor,1989.0
MARCO ANTÔNIO DE DECCO OLIVEIRA,4390.1,1973-09-19,Desenvolvedor,1973.0
YURI VITOR FAÇANHA NEVES,1965.6000000000001,1974-05-24,Auxiliar,1974.0
GABRIEL ANTÔNIO DE DECCO OLIVEIRA,6186.400000000001,1952-05-19,Desenvolvedor,1952.0
GUILHERME RIBAS DE MOURA,6305.0,1995-10-11,Coordenador,1995.0
RÔMULO SILVINO DA SILVA,3406.4,1958-02-23,Estagiário,1958.0
Breno AUGUSTO DE SOUSA FERRARI,2022.0,1984-11-04,Diretor,1984.0
MATHEUS IVAIR DE ASSIS SETTA,4472.8,1975-04-16,Estagiário,1975.0
GABRIEL CUNHA DE OLIVEIRA,1186.4,1958-11-01,Estagiário,1958.0
PEDRO SEGURASSE GONÇALVES,7689.5,1970-10-08,Coordenador,1970.0
VICTOR QUEIROZ DE AGUIAR,12514.5,1962-08-16,Gerente,1962.0
THIAGO CARLOS DE SOUZA,3337.9500000000003,1967-11-02,Auxiliar,1967.0
MICAEL BRENO PRADO SILVA,11044.0,1996-10-19,Diretor,1996.0
YURI SEGURASSE GONÇALVES,12550.0,1965-09-17,Diretor,1965.0
LUCAS PAULO ALVES ALVIM,3455.55,1971-02-05,Auxiliar,1971.0
HENRIQUE SEGURASSE GONÇALVES,8259.6,1996-12-28,Analista,1996.0
GABRIEL HUGO CAZULA PEREIRA,12676.300000000001,1997-07-17,Coordenador,1997.0
PAULO ANTÔNIO DE DECCO OLIVEIRA,6055.35,1982-12-09,Auxiliar,1982.0
LEVI AUGUSTO DE SOUSA FERRARI,2848.7999999999997,1985-05-01,Analista,1985.0
GABRIEL HENRIQUE CAÇADOR,17874.0,1984-07-07,Diretor,1984.0
LEVI MATHEUS DA SILVA,6517.35,1956-01-03,Auxiliar,1956.0
GABRIEL PAULO ALVES ALVIM,3746.6,1960-11-25,Coordenador,1960.0
TIAGO CARLOS DE SOUZA,8893.5,,Gerente,
LUCAS RIBEIRO AMORIM,-7461.3,1951-06-18,Desenvolvedor,1951.0
MATEUS HENRIQUE COSTA BARNABE MARAZO,3943.5,1957-09-26,Gerente,1957.0
GABRIEL HENRIQUE CAÇADOR,8390.800000000001,1952-06-09,Desenvolvedor,1952.0
SAMUEL QUEIROZ DE AGUIAR,9237.6,1963-12-08,Analista,1963.0
MATHEUS WILSTONY DE SOUZA MENDES,9388.0,1976-11-28,Diretor,1976.0
PAULO VICTOR ALVES,-8341.300000000001,1967-11-08,Desenvolvedor,1967.0
MARCO CUNHA DE OLIVEIRA,9703.199999999999,1999-10-09,Analista,1999.0
MARCO SILVA RAMOS,12802.5,1958-11-03,Gerente,1958.0
HENRICO IVAIR DE ASSIS SETTA,7770.0,1961-07-06,Gerente,1961.0
MIGUEL STANZANI DE JESUS,-2716.7999999999997,1969-11-17,Analista,1969.0
VICTOR HENRIQUE COSTA BARNABE MARAZO,10530.300000000001,1978-01-21,,1978.0
JOÃO PICANÇO SANTOS FERREIRA SILVA,2478.0,1975-01-09,Diretor,1975.0
PEDRO AUGUSTO NERY SILVA,14770.5,1982-09-12,Gerente,1982.0
MATEUS PAULO ALVES ALVIM,2028.0,1960-11-23,Coordenador,1960.0
RAFAEL PICANÇO SANTOS FERREIRA SILVA,6438.3,1996-04-14,Desenvolvedor,1996.0
SAMUEL ASSIS NOGUEIRA SILVA,5371.3,1989-05-14,Desenvolvedor,1989.0
MATEUS WERNECK ELIZEU,11274.9,1971-02-27,Coordenador,1971.0
MATHEUS RISSON EUZEBIO,6532.8,1982-01-05,Estagiário,1982.0
LUCAS PAULO ALVES ALVIM,10396.050000000001,1961-02-16,Auxiliar,1961.0
ARTHUR CARDOSO DINIZ,5491.200000000001,1986-10-20,Estagiário,1986.0
VICTOR SEGURASSE GONÇALVES,3487.0000000000005,1997-12-02,Desenvolvedor,1997.0
PAULO AUGUSTO DE SOUSA FERRARI,-7702.799999999999,1983-03-24,Analista,1983.0
MATHEUS VITOR FAÇANHA NEVES,4933.5,1954-02-18,Coordenador,1954.0
VICTOR GONÇALVES DOS SANTOS,4952.0,1990-08-26,Diretor,1990.0
MIGUEL CUNHA DE OLIVEIRA,1408.0,1997-05-22,Desenvolvedor,1997.0
PEDRO MATHEUS DA SILVA,2974.65,1960-03-25,Auxiliar,1960.0
MATHEUS MATHEUS DA SILVA,5006.4,1996-08-06,Analista,1996.0
MATHEUS GONÇALVES DONADONI,-8791.2,1975-12-17,Desenvolvedor,1975.0
GABRIEL MUZY FERNANDES,7586.400000000001,1955-08-14,Estagiário,1955.0
JOÃO MUZY FERNANDES,4235.2,1963-05-03,Estagiário,1963.0
HENRICO ASSIS NOGUEIRA SILVA,7207.200000000001,1951-11-18,Auxiliar,1951.0
RAFAEL PAULO ALVES ALVIM,9830.6,1989-06-15,Coordenador,1989.0
SAMUEL HENRIQUE COSTA BARNABE MARAZO,3964.0,1965-04-04,Estagiário,1965.0
VICTOR GONÇALVES DOS SANTOS,-2271.5,1990-06-28,Desenvolvedor,1990.0
KALLEBE Araujo Kuhn,5611.200000000001,1981-10-12,Estagiário,1981.0
JOÃO DA CUNHA TEIXEIRA,8896.8,1960-07-13,Analista,1960.0
GUILHERME CUNHA DE OLIVEIRA,823.1599286282016,1996-02-18,Diretor,1996.0
MATEUS SILVA RAMOS,3736.7000000000003,1984-03-06,Desenvolvedor,1984.0
VICTOR AUGUSTO NERY SILVA,3512.8,1997-12-24,Estagiário,1997.0
RÔMULO ANTÔNIO DE SOUZA NETO,3543.0,1989-07-08,Gerent,1989.0
MATEUS LACERDA PORTUGAL DA SILVA,57805.93126885968,1955-11-27,Auxiliar,1955.0
PEDRO GONÇALVES DOS SANTOS,4533.0,1968-05-01,Gerente,1968.0
HENRICO WILSTONY DE SOUZA MENDES,6367.400000000001,1960-07-08,Coordenador,1960.0
VICTOR DA CUNHA TEIXEIRA,7797.6,1963-04-07,Estagiário,1963.0
LETICIA VITOR FAÇANHA NEVES,4368.0,1983-03-13,Diretor,1983.0
BLENDOW VITOR FAÇANHA NEVES,8173.1,1963-10-16,Coordenador,1963.0
JOÃO RIBAS DE MOURA,3907.8,1963-08-18,Coordenador,1963.0
Breno ANTÔNIO DE SOUZA NETO,1295.2763774426387,1987-03-20,Desenvolvedor,1987.0
RAFAEL RIBAS DE MOURA,2151.4500000000003,1990-02-22,Auxiliar,1990.0
MATEUS AUGUSTO DE SOUSA FERRARI,2060.0,1962-07-26,Diretor,1962.0
THIAGO PICANÇO SANTOS FERREIRA SILVA,1296.0,1998-05-02,Estagiário,1998.0
ARTHUR SEGURASSE GONÇALVES,10872.0,2000-09-25,Diret,2000.0
JOÃO SILVA RAMOS,1813.5,1955-04-12,Coordenador,1955.0
BLENDOW ANTÔNIO DE SOUZA NETO,-5552.0,1987-11-03,Estagiário,1987.0
THIAGO QUEIROZ DE AGUIAR,7558.0,2000-07-02,Diretor,2000.0
GUILHERME HENRIQUE CAÇADOR,-1568.8000000000002,1963-06-17,Estagiário,1963.0
Breno DA CUNHA TEIXEIRA,6648.2,1969-03-23,Coordenador,1969.0
VICTOR HENRIQUE COSTA BARNABE MARAZO,5523.1,1997-07-27,Desenvolvedor,1997.0
MICAEL MUZY FERNANDES,9571.1,1971-02-17,Desenvolvedor,1971.0
VICTOR JOSÉ SILVA MATIAS,8920.6,1980-05-10,Coordenador,1980.0
SAMUEL IVAIR DE ASSIS SETTA,7252.35,1955-08-28,Auxiliar,1955.0
MATEUS GONÇALVES DONADONI,10897.9,1956-02-27,Coordenador,1956.0
PEDRO VITOR FAÇANHA NEVES,13863.0,1750-06-31,Gerente,
MATEUS ANTÔNIO DE DECCO OLIVEIRA,7037.1,1970-06-01,Auxiliar,1970.0
HENRIQUE RIBEIRO AMORIM,6579.0,1964-12-13,Gerente,1964.0
VICTOR WILSTONY DE SOUZA MENDES,5880.0,1989-11-24,Analista,1989.0
SAMUEL JOSÉ SILVA MATIAS,8229.0,1953-09-19,Gerente,1953.0
RAFAEL ANTÔNIO DE DECCO OLIVEIRA,11970.0,1996-10-11,Diretor,1996.0
CARLOS LACERDA PORTUGAL DA SILVA,2708.4,1952-01-11,Analista,1952.0
MIGUEL PAULO ALVES ALVIM,6021.6,1963-12-27,Estagiário,1963.0
VICTOR BRENO PRADO SILVA,5468.0,1977-10-13,Estagiário,1977.0
Breno CARDOSO DINIZ,11112.0,1965-06-23,Gerente,1965.0
PEDRO SOUZA RONCETE,6674.2,1989-03-10,Coordenador,1989.0
LETICIA RIBAS DE MOURA,5778.5,1975-11-21,Coordenador,1975.0
JOÃO GONÇALVES DOS SANTOS,1145.8803791868997,1978-07-09,Coordenador,1978.0
VICTOR SANTOS DA SILVA,6795.6,1999-06-13,Auxiliar,1999.0
TIAGO QUEIROZ DE AGUIAR,11603.800000000001,1977-01-13,Coordenador,1977.0
BLENDOW DA SILVA BIANQUINI,4254.0,1997-01-09,Diretor,1997.0
SAMUEL PICANÇO SANTOS FERREIRA SILVA,8761.5,,Desenvolvedor,
YURI AUGUSTO DE SOUSA FERRARI,11471.2,1954-07-23,Coordenaddr,1954.0
PEDRO DA CUNHA TEIXEIRA,9776.800000000001,1973-13-32,Desenvolvedor,
THIAGO AUGUSTO NERY SILVA,2364.7000000000003,1977-07-11,Coordenador,1977.0
JOÃO RISSON EUZEBIO,5077.8,1970-11-26,Coordenador,1970.0
VICTOR PAULO ALVES ALVIM,3828.0,1956-12-03,Gerente,1956.0
GUILHERME GONÇALVES DONADONI,11515.5,1963-09-08,Gerente,1963.0
PEDRO HUGO CAZULA PEREIRA,9754.0,1988-08-13,Diretor,1988.0
LUCAS CASTILHO CARDOSO,6169.6,1951-09-05,Estagiário,1951.0
ARTHUR RISSON EUZEBIO,6769.400000000001,1967-06-24,Desenvolvedor,1967.0
ARTHUR RISSON EUZEBIO,4626.6,1954-11-22,Desenvolvedor,1954.0
JOÃO DA CUNHA TEIXEIRA,13116.0,1988-05-05,Gerente,1988.0
MARCO RIBAS DE MOURA,4609.6,1959-07-08,Estagiário,1959.0
GABRIEL SANTOS DA SILVA,16994.0,,Diretor,
CARLOS CUNHA DE OLIVEIRA,3876.8,1964-01-15,Estag,1964.0
KALLEBE PICANÇO SANTOS FERREIRA SILVA,6636.5,1983-08-05,Coordenador,1983.0
JOÃO ANTÔNIO DE DECCO OLIVEIRA,8074.3,1964-12-24,Coordenador,1964.0
GABRIEL BRENO PRADO SILVA,7853.6,1967-12-10,Estagiário,1967.0
THIAGO VIEIRA DEMARQUE,5375.700000000001,1966-02-26,Desenvolvedor,1966.0
THIAGO SOUZA RONCETE,5331.700000000001,1956-11-07,Desenvolvedor,1956.0
JOÃO PICANÇO SANTOS FERREIRA SILVA,6138.6,1970-07-19,Coordenador,1970.0
MARCO ANTÔNIO DE DECCO OLIVEIRA,53275.45254252303,1975-08-02,Estagiário,1975.0
GABRIEL MUZY FERNANDES,7476.0,1986-09-24,Auxiliar,1986.0
THIAGO RIBEIRO AMORIM,5236.400000000001,1986-07-28,Coordenador,1986.0
HENRIQUE DA CUNHA TEIXEIRA,2036.0,1973-06-20,Estagiário,1973.0
JOÃO CASTILHO CARDOSO,2103.778984830882,1971-06-02,Coordenador,1971.0
SAMUEL MATHEUS DA SILVA,2101.2,1951-02-28,Analist,1951.0
